"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test navigation to cart page","1410","test_navigate_to_cart[chromium]","tests","Sat May 02 05:33:20 UTC 2026","passed","Sat May 02 05:33:22 UTC 2026","TestNavigation","test_navigation","",""
"Test user can login with valid credentials","6482","test_successful_login[chromium]","tests","Sat May 02 05:32:30 UTC 2026","passed","Sat May 02 05:32:37 UTC 2026","TestAuthentication","test_authentication","",""
"Test product details page displays correct information","1170","test_product_details_page[chromium]","tests","Sat May 02 05:33:28 UTC 2026","passed","Sat May 02 05:33:29 UTC 2026","TestProductCatalog","test_product_catalog","",""
"Test removing a product from cart","9452","test_remove_product_from_cart[chromium]","tests","Sat May 02 05:32:57 UTC 2026","passed","Sat May 02 05:33:07 UTC 2026","TestCartCheckout","test_cart_checkout","",""
"Test filtering products by category","2200","test_filter_by_category[chromium-Phones]","tests","Sat May 02 05:33:25 UTC 2026","passed","Sat May 02 05:33:27 UTC 2026","TestProductCatalog","test_product_catalog","",""
"Test About Us modal opens","815","test_about_modal_opens[chromium]","tests","Sat May 02 05:33:22 UTC 2026","passed","Sat May 02 05:33:23 UTC 2026","TestNavigation","test_navigation","",""
"Test filtering products by category","2076","test_filter_by_category[chromium-Monitors]","tests","Sat May 02 05:33:32 UTC 2026","passed","Sat May 02 05:33:34 UTC 2026","TestProductCatalog","test_product_catalog","",""
"Test complete checkout flow from cart to order confirmation","6888","test_complete_checkout_process[chromium]","tests","Sat May 02 05:33:08 UTC 2026","passed","Sat May 02 05:33:15 UTC 2026","TestCartCheckout","test_cart_checkout","",""
"Test adding a product to cart","4386","test_add_product_to_cart[chromium]","tests","Sat May 02 05:32:52 UTC 2026","passed","Sat May 02 05:32:56 UTC 2026","TestCartCheckout","test_cart_checkout","",""
"Test home page displays products","805","test_home_page_loads_products[chromium]","tests","Sat May 02 05:33:24 UTC 2026","passed","Sat May 02 05:33:25 UTC 2026","TestProductCatalog","test_product_catalog","",""
"Test filtering products by category","2116","test_filter_by_category[chromium-Laptops]","tests","Sat May 02 05:33:30 UTC 2026","passed","Sat May 02 05:33:32 UTC 2026","TestProductCatalog","test_product_catalog","",""
"Test sending a contact message successfully","3060","test_send_contact_message_success[chromium]","tests","Sat May 02 05:33:16 UTC 2026","passed","Sat May 02 05:33:19 UTC 2026","TestContactForm","test_contact_form","",""
"Test user can successfully sign up with valid credentials","2929","test_successful_signup[chromium]","tests","Sat May 02 05:32:26 UTC 2026","passed","Sat May 02 05:32:29 UTC 2026","TestAuthentication","test_authentication","",""
"Test user can logout successfully","12818","test_logout_functionality[chromium]","tests","Sat May 02 05:32:37 UTC 2026","passed","Sat May 02 05:32:50 UTC 2026","TestAuthentication","test_authentication","",""
"Test navigation to home page","359","test_navigate_to_home[chromium]","tests","Sat May 02 05:33:19 UTC 2026","passed","Sat May 02 05:33:20 UTC 2026","TestNavigation","test_navigation","",""
